Emp ID,First Name,Last Name,DOB,SSN,State
214,Sarah,Simpson,12/04/1985,***-**-8166,FL
214,Sarah,Simpson,09/08/1993,***-**-7526,CO
214,Samantha,Lara,12/20/1957,***-**-8526,PA
15,Stacy,Charles,07/29/1978,***-**-3944,MI
411,Michelle,Roy,03/28/1985,***-**-3515,MN
166,Joseph,Rogers,10/13/1975,***-**-6153,NY
39,Erica,Hines,12/20/1967,***-**-0817,WI
423,Zoe,Patel,01/20/1990,***-**-0346,TN
192,Matthew,Harvey,07/21/1961,***-**-1581,WV
162,Shawn,Davis,08/07/1961,***-**-2014,MO
131,April,Baldwin,01/06/1972,***-**-2754,MT
20,Vincent,Daniels,08/22/1960,***-**-7911,IA
246,Ann,Fields,05/05/1979,***-**-2578,IL
525,Jeffrey,Pearson,09/23/1989,***-**-0904,GA
392,Heather,Johnson,03/14/1979,***-**-6881,RI
474,Melissa,Fletcher,09/04/1984,***-**-8680,LA
478,Kimberly,Alvarez,04/08/1988,***-**-1668,ND
101,Monica,Jimenez,05/28/1962,***-**-7070,NE
52,Steven,Johnson,06/15/1972,***-**-6715,FL
182,Sarah,Wood,03/28/1958,***-**-0770,OK
637,Jesus,Petersen,04/10/1963,***-**-0286,AL
510,Rhonda,Rosales,09/09/1981,***-**-5228,LA
122,Nicole,Richardson,07/20/1977,***-**-1994,OR
294,Jennifer,Mendez,01/30/1981,***-**-7629,NC
327,Sandra,Petty,04/13/1987,***-**-6836,SD
145,Michael,Hester,08/28/1982,***-**-4744,NH
565,Joseph,Brown,08/23/1993,***-**-2306,WA
590,Michelle,Cooper,12/15/1991,***-**-7662,IN
340,Barbara,Wise,07/20/1984,***-**-4907,NJ
176,Carol,Rosales,02/24/1969,***-**-2207,MS
63,Mark,Villa,09/16/1973,***-**-5514,MS
121,Russell,Orozco,08/21/1994,***-**-5222,OK
70,Michelle,Sanchez,10/31/1965,***-**-4542,CT
446,Briana,Ayala,12/14/1958,***-**-6030,HI
156,Shane,Roberts,01/24/1973,***-**-3831,MT
343,Cassandra,Morris,07/25/1984,***-**-7445,KY
599,Krista,Thompson,09/13/1957,***-**-1689,NM
102,Jon,Bennett,12/03/1993,***-**-3580,CO
377,April,Thomas,01/15/1968,***-**-3736,ID
240,Haley,Martinez,11/25/1989,***-**-5036,SD
455,Isaac,Stafford,01/06/1987,***-**-3936,NH
503,John,Martinez,12/08/1982,***-**-4070,WV
269,John,Phillips,09/11/1978,***-**-9672,SD
219,Gary,Shelton,10/12/1969,***-**-2966,ME
301,Amanda,Gordon,09/12/1963,***-**-6084,NE
84,Jessica,Holt,07/15/1966,***-**-9779,SD
588,Stephanie,Estes,02/01/1992,***-**-7328,MS
540,Jessica,Brown,05/19/1973,***-**-7781,NM
329,Donna,Manning,08/20/1991,***-**-7882,VA
74,Nicholas,Owens,05/13/1960,***-**-0741,AZ
29,Wendy,Ryan,09/08/1971,***-**-3136,GA
92,Kimberly,Hooper,05/28/1975,***-**-0643,MT
489,Deborah,Gonzalez,04/18/1987,***-**-3016,IN
561,Laura,Yoder,03/07/1958,***-**-0707,AZ
44,Kimberly,Velez,05/15/1973,***-**-4337,OK
138,Kevin,Garcia,11/20/1972,***-**-0963,ND
623,Marcia,Jones,08/11/1978,***-**-5508,NV
173,Nicole,Baldwin,02/13/1986,***-**-8687,CA
148,Katherine,Juarez,09/22/1985,***-**-7734,NC
184,Paula,Thompson,02/27/1973,***-**-5429,NM
228,Joan,Hoover,11/28/1962,***-**-1621,NV
117,Stephen,Simon,09/30/1962,***-**-9126,MN
544,Rebecca,Taylor,04/28/1973,***-**-6742,DE
116,Lindsay,Owens,07/03/1983,***-**-7892,AK
622,Justin,Payne,01/25/1961,***-**-4112,GA
376,Michelle,Thornton,08/11/1985,***-**-4460,SC
100,Timothy,Hill,01/05/1976,***-**-5174,OH
222,Karen,Johnson,03/01/1962,***-**-9185,KY
506,Alexis,Mcintosh,09/18/1961,***-**-3222,AL
59,Susan,Fitzgerald,08/26/1958,***-**-3120,OH
456,Amber,Stewart,07/17/1983,***-**-2641,NJ
389,Taylor,Evans,09/27/1993,***-**-8339,ID
236,Tracy,Knight,02/27/1981,***-**-2601,AZ
78,Jason,Parks,06/15/1973,***-**-7126,SC
253,Jonathan,Carroll,06/21/1959,***-**-6918,MS
67,Sara,Wallace,05/23/1969,***-**-4559,UT
642,Jeffrey,Mitchell,03/11/1986,***-**-9544,DE
279,April,West,02/05/1973,***-**-2883,IN
41,Ryan,Reynolds,07/24/1989,***-**-1379,AL
30,Rachel,Bell,06/20/1984,***-**-4567,LA
462,Amber,Williamson,10/08/1968,***-**-7749,UT
87,Tony,Park,10/04/1981,***-**-6302,OH
26,Robert,Jefferson,07/05/1987,***-**-5549,WY
553,Sarah,Hernandez,12/19/1968,***-**-4633,CA
151,Margaret,Foley,03/01/1988,***-**-0333,TN
523,Tina,Christensen,10/16/1987,***-**-4728,WY
434,Isaac,Gomez,04/24/1961,***-**-5132,VT
1,Phillip,Davis,09/18/1979,***-**-9324,NV
